"","text","subject_label","subject_predicted","structure_label","structure_predicted"
"1","The commitment pulse occurs during the 5th larval stage",3,3,4,2
"2","This is not a scientific term",2,2,2,2
"3","Another potential reason could be error in isolating the chloroplasts from the leaves. Recall that you didn’t actually record the relative density of chloroplast this time. Going through that step to ensure your sample actually had a high density of chloroplast would be an effective way to ensuring that you had chloroplast in your treatment to begin with.",3,4,4,5
"4","I would rather focus on improving the procedure to isolate the chloroplast rather than doing 30 replicate per treatment",3,3,4,4
"5","What is the stimuli to open Ca++ channels, the arrival of an AP or the opening of K+ channels? You should be precise.",3,2,4,4
"6","Try something like, “The average R:S ratio for weight of sun plants was 0.635 ± 0.223”",3,3,2,4
"7","This goes in methods, but why’d you use paired? I don’t think it’s appropriate for your data, so please reach out and ask me questions if you need help!",2,3,4,4
"8","Instead of saying that the obtained results were opposite to the expected results, just mention the observed trends in the data. That is what you got, mention that first and then later you can mention that it goes against the predicton.",2,2,4,4
"9","Just refer to the study, not the author.",3,3,2,2
"10","?",2,3,1,2
"11","Typo?",2,2,1,2
"12","Directed hypothesis = one-tailed, and the hypothesis you state above is one-tailed. Clarify please.",3,3,4,2
"13","Which statistical test(s) did you run?",3,3,4,4
"14","We talked about this is class, but you cannot mention or discuss your hypothesis (or whether or not it is supported) in the results. This belongs in the discussion and is an organizational issue. Given that the rest of this report is very good, fixing this error will allow you to still get a good overall grade on your revision, but please come see me if you are confused.",1,1,4,4
"15","These is telling you that you probably don’t need so many figures because they are showing the same information, so you could combine them",3,3,4,4
"16","specify",2,3,7,2
"17","You need another citation. The lab manual only is not enough.",3,3,4,3
"18","Don’t attribute your results to error",4,3,3,2
"19","Do not quote previous studies. Explain their observations with your own words.",2,2,3,3
"20","Also explore the possible reasons why your herbicide experiment didn’t turn out the way you expected",4,4,3,3
"21","You need to expand far more in your discussion. Talk about future directions and expand on your explanation of your data.",4,4,3,3
"22","Your discussion needs to talk about the implications of your results, whether your hypothesis was supported, and give a biological reason for your results",4,4,3,4
"23","No interpretation. Just trends",1,3,3,4
"24","Ah, so a good control here would have been covering the control PDA plates with water and allowing them to soak for 10 minutes too.",3,3,4,4
"25","You need to include also the difference between groups. That was also in the figure",3,3,4,2
"26","Ca++ is released from…",3,3,2,2
"27","Can you use a more scientific term?",3,2,2,2
"28","Can you just generalize the methods a little bit more.",3,2,3,3
"29","R:S for length? Weight? Both?",3,3,2,2
"30","Citation formattingOmit this",3,3,2,2
"31","Nitpicking: citation first, then period",3,3,6,2
"32","It was hypothesized…",2,3,2,2
"33","No, K+ ions leave the cell and this causes the repolarization.",3,3,4,2
"34","informal",2,2,3,3
"35","What does this mean? Check your statistical terms and be precise.",3,3,4,4
