"","text","subject_label","subject_predicted"
"1","Needs citation",3,3
"2","…needed?",2,3
"3","I don’t think this is very important, certainly not as important as a deeper interpretation of your results. So you found that shelter decreases aggression, and now what does that mean for the fish, their fitness, and natural/artificial selection?",4,4
"4","How is JH amount related to length? Explain why you think this",4,4
"5","Why? Cite some studies.",4,3
"6","Number your figures in the order to which you refer to them.",3,3
"7","Again, this can all go in your methods. The independent and dependent variable are made clear already by saying that you will be testing the effects of Martins IGR.  I understand that you are just trying to state them explicitly, as the resource guide tells you to, but this is unnecessary.",3,1
"8","Make sure you have some version of your hypothesis near the beginning of your abstract so that readers understand that you were testing something and not just running this experiment without any expected outcome.",2,4
"9","What was the hypothesis? The hypothesis of the experiment should be included in the Abstract.",2,2
"10","Good job referring people to your figure, but remember to number your figures in the order in which you present them in the paper (so the first figure referenced should be “Figure 1”, the second should be “Figure 2”, etc.)",3,3
"11","it’s a little difficult to read this with all the colors being so different. Is it possible to get all treatment groups to be one color and all controls to be another?",3,3
"12","Be more specific about what you mean here, what is the exact thing you are measuring?",3,3
"13","It’s not their weight that makes them unable to move on, it’s the level of JH",4,3
"14","Do not talk about stats like this in the discussion",3,2
"15","Put the p-value here, not the alpha value",3,3
"16","This should go before you mention the methods briefly",2,2
"17","Also introduce statistical tests you performed to analyze the data",3,3
"18","You can say this different. Once the threshold was determined, 3 myograms were recorded for each gastrocnemius muscle and the amplitude of contraction was measured.",2,3
"19","Don’t use so much detail when explaining the behaviors; save that for the methods",2,2
"20","In what pathway?",3,3
"21","You can say it rejects the null hypothesis, but the way you have it phrased here is a little odd",2,2
"22","Save this for the Table caption",3,3
"23","This is confusing.",2,2
"24","Don’t need to use quotations, just paraphrase the article",2,2
"25","You should reference your figure in here.",3,3
"26","Your methods need to explain your analysis methods and your results need to include statistics.",3,3
"27","Put this into mL",3,3
"28","You need to be more scientific with your language. Make sure you state means and SDs",3,2
"29","That’s your reagent table",3,3
"30","This is good info! But should have a citation.",3,3
"31","Also, recall that you didn’t quantify the presence of chloroplasts in your samples. You could have done it using a hemocytometer.",3,4
"32","Not bad justification for your hypothesis, but background on the fact that JH regulates growth/molting in these caterpillars would be better.",4,2
"33","Typically, if more than two treatments are involved (in this case, you used 3 including the control), an ANOVA would be used. But since there were just 3, I’ll let this go. Do let me know, however, if you’d like to learn more about ANOVA in case you need to know it in the future",3,3
"34","Specify the volumes used",3,3
"35","You should explain (probably in the results) why experiment 4 has incomplete data. You need a lot of justification to exclude ¼ of all your data points as outliers.",3,2
"36","Be specific. Will the treatment caterpillars weigh less? More?",4,3
"37","Outside sources missing (Basic criteria)",1,1
"38","You don’t want to get those results by hope",3,3
"39","Include a sentence about your results and one about your conclusions.",2,2
"40","elaborate a little more on this concept to indicate implications of your experimental design at a broader context",4,4
"41","This is ambiguous, based on previous knowledge, you can make a prediction.",2,2
"42","Plagiarized",1,3
"43","Error bars represent…",3,3
"44","supports",2,2
"45","0.99 ± 0.50",3,3
"46","Use proper citation format",3,3
"47","Why? Do you think this is affecting your result? How? Do not include this if you are not sure that those were limitations of your experiment",4,4
"48","Refer to figures. Include your t-test results to justify.",3,3
"49","25mM (This is a concentration for concentration. 25mM = 25mmol/L)",3,3
"50","How many tails? Instead of your last sentence here, you can just say that you determined significance at the p=0.05 level. “How far off” is not a particularly scientific or informative term.",3,3
"51","It is a large cell! (Why it’s so cool!)",3,3
"52","Good, explain the commitment pulse a little more and use the hormone imbalance point a little more.",3,2
"53","So how does this relate to what you are doing, since you are not looking at pupation?",4,4
"54","percisiond (word choice)",2,2
"55","What were the p-values obtained? Those should be included in the results.",3,3
"56","this needs to be focused and condensed",2,2
"57","What statistical test did you plan on running?",3,3
"58","2% water agar",3,3
"59","What buffer?",3,3
"60","Shorten this to say that” the weight was measured in grams”",2,2
"61","Include the year published.",3,3
"62","Write this section in past tense. Also use the actual symbols instead of writing out words like “degrees Celsius” or “microliters”",2,2
"63","The electrodes were not recording the myograms. Those were stimulation electrodes. To record the myograms, a force transducer was used.",3,3
"64","No need to explain what the t-test does, but also this is not quite right. A t-test might find no significant difference (as in this case), so the groups are not always statistically significantly different.",3,3
"65","I would highlight on the fact that A23187 targets both IP3 and Ca2+ activated intracellular channels. If 2-APB targets IP3, think about how you could improve your current experimental design.",4,4
"66","Pretend you are writing a scientific journal article. Avoid phrases like, “in this lab.” You could instead open by explaining what resource allocation is and why root:shoot ratio is a good measure for it.",2,2
"67","These graphs shouldn’t have titles",3,3
"68","remove (Methods details 2)",3,2
"69","I think you are talking about twitch threshold? I would call it such throughout your paper so it makes more sense",3,4
"70","Give more detail about these other experiments",3,2
"71","Make sure you include the specific means and standard deviations",3,3
"72","Since stats weren’t significant, you can’t say there’s a difference. Even if means are slightly different",3,3
"73","I don’t understand this statistical outcome. What did they compare? That is not clear. Do not use sentences for the statistical analysis only. Ths should be supporting the actual result.",3,3
"74","Another potential reason could be error in isolating the chloroplasts from the leaves. Recall that you didn’t actually record the relative density of chloroplast this time. Going through that step to ensure your sample actually had a high density of chloroplast would be an effective way to ensuring that you had chloroplast in your treatment to begin with.",3,4
"75","This should go earlier in the discussion.",2,2
"76","Citations",3,3
"77","Centrifuged",3,3
"78","This is all unnecessary information",2,2
"79","And then accepted by NADPH…",3,3
"80","You don’t need so much here. Just a little taste of this would be enough.",2,2
"81","Maybe present this information first? Then your hypothesis will make sense.",2,4
"82","Based on the t-test?",3,3
"83","Check your axesx-axis: there were not control frogs. The same muscle was used for both conditions, control and treatment. Write the axis in correspondence to that. Can you be more specific for the y-axis? Amplitude of contraction",3,3
"84","Methods!",3,2
"85","Why? Give me a little information about how Physarum uses actin and myosin for movement.",3,2
"86","Reiterate your statistical results in your caption as well",3,3
"87","This is more a possible explanation than a suggestion from the results.",2,4
"88","Make sure you include the author and year. I know that’s a paper title, but you should just paraphrase its findings.",3,3
"89","If you mention this, you’re going to have to actually talk about the experiment they did",2,4
"90","Why did the contractions were weaker? You can talk about the way you measured the amplitude. Using that measuring method, the amplitude were smaller, however the muscle contraction was continuous, no relaxation.",3,4
"91","This may not be the best word choice",2,2
"92","this needs to be backed up by result data",4,3
"93","For the next lab report, make sure your error bars are fitted to each data point; I can help with that!",3,3
"94","Don’t need to use quotations, just paraphrase.",2,2
"95","These are not written like interpretations of the results",3,2
"96","Where? In what temp?",3,3
"97","Need to include more in these figure captions. Need to include what the respective statistics values are as well as what the legend is in words.",3,3
"98","Why? What motivates intraspecific aggression? What are its costs and benefits? You need to be specific",4,4
"99","Comparison should be between groups and not between replicates",3,3
"100","Be careful about your sources. Generally for scientific uses, you want to cite scholarly sources (Scientific articles or .edu/.gov)",2,2
"101","Hypothesis needs to be the last sentence of your introduction.",2,2
"102","Total mass?",3,3
"103","Make sure to include the statistical test used as well.",3,3
"104","Methods – not in introduction",2,2
"105","Redundant",2,2
"106","Use this as an example of a figure legend. In each figure you can average the information from the 3 frog legs, not just 1",3,3
"107","A myogram is a representation of the temporal curse of a contraction. It is not something that you use to record the data.",3,3
"108","Be more specific about the differences. That way, your p-values make more sense.",2,3
"109","Need to fix the position of the error bars, as well as make sure they represent the correct values.  You will need to calculate the standard deviation for all 16 of these averages, and input those values as “custom” error bars for each bar.",3,3
"110","No need to include the null hypothesis",3,3
"111","Missing citations",3,3
"112","These error bars are not correct, as they don’t appear to be centered on the bars",3,3
"113","conducted",2,3
"114","How did you keep the leg stable? Specify that it was pinned to the dissecting tray.",3,3
"115","?",3,3
"116","Fish are ectothermic, so they do not regulate their body temperature. Hence, they do not exert energy towards maintaining homeostasis. Explain your data in terms of the metabolic inefficiencies of bettas in colder water.",4,4
"117","…what is going on with this graph? Where’s the y-axis? Why do the numbers have so many digits? Why are the bars the same for both groups?",3,3
"118","At 27C",3,3
"119","Remove this throughout the method – it is not necessary to tell the reader how you labeled tubes",3,2
"120","These should be more specific, describe what’s going on in each graph.",3,3
"121","Need more information in the figure captions",3,3
"122","What does this number provide you information wise? It is strange that the standard deviation is almost 10 times as large as the average. Maybe rethink how you report this if at all",3,3
