"","text","subject_label","subject_predicted"
"1","Pretend you collected all the data you were provided",3,3
"2","units",3,3
"3","revise",2,2
"4","2% water agar",3,3
"5","Colloquial language",2,2
"6","No need to discuss sources of error unless you have evidence that it actually affected your results",4,4
"7","No citations in the abstract.  Just say everything else, but remove the citation",2,2
"8","What do you think it means (or why is it that) the length ratios were not significant? Can you think of an explanation for that, or find one in the literature?",4,4
"9","Good intro, but why’d you use spinach? Include that!",3,2
"10","As figure 3 already displays this data, I would exclude table 1 and table 2.",3,3
"11","It’s more a behavior exhibited by Physarum toward chemicals the elicit this behavior.",3,4
"12","Just say no significant difference (t = , df = , p = ).",3,3
"13","You have to give me more information here. What portion? Why?",3,2
"14","remove",2,2
"15","I should be able to follow exactly what you did by reading your methods section down to the volumes and the wavelength your spec was set to…",3,3
"16","I think there’s a sentence missing here where you discuss how many drops you gave each caterpillar?",3,3
"17","word choice",2,2
"18","This implies that R:S will decrease in nitrogen-deficient conditions, which is contrary to our understanding of allocation.",4,4
"19","I don’t see the correlation. Why would the bettas use energy to defend itself against non-aggressive guppies?",4,2
"20","Can you say more about that? Why do you think that is? Can you back it up with observations or photos of the plants? Have other studies found something similar?",4,4
"21","Here, you could give that Kucerik reference again",3,3
"22","Three times on the same plant? Or do you mean for three replicates? Make sure you are clear!",3,4
"23","Check in the Bio Core Guide the correct format for writing the methods. It is recommended to use passive voice, impersonal.",2,2
"24","This graph still needs work. Your y-axis label is just a unit. I’m confused about what those black lines are and why there are four bars instead of averages",3,3
"25","The biggest problem was the organizational issue - which is one of  “basic criteria” from our grading rubric. Others were the results section, figures, and the usage of primary resources (refer to my comments for specifics). Please come see me if you need/want to sit down and go through anything. Don’t panic, we’ll fix this.",1,1
"26","Please make sure this paragraph still uses complete sentences, not just a list of numbers.",2,3
"27","That was just a hypothesis, so it was not meant to be in that way. You were testing the hypothesis, and the results showed something different.",3,4
"28","If you include a figure number in the image, make sure it matches the number in the submission. This should be “Figure 2” now.",3,3
"29","Start your abstract as if it were the introduction: broad.",2,2
"30","How is a normal temporal patter? Can you specify that",3,3
"31","You need to connect the dots for your reader. How does a dominance hierarchy connect to food availability?",4,4
"32","Revise this statement.",2,2
"33","Revise to make it more formal. You can break them into smaller statements to convey the message clearly.""..not quite to the degree..."" is imprecise and unscientific. Consider ""but was not significant"" instead. Look for similar mistakes in the rest of the report and revise.",2,2
"34","You need to introduce R:S and its relationship with resource allocation",2,4
"35","I would exclude this, as you just said your results were not significant",3,3
"36","You just have to say that all plants were exposed to the same env conditions",3,3
"37","What statistical testing did you use?",3,3
"38","This is a poor first sentence.  Find a better way to bring the reader into your paper.",2,2
"39","SDs?",3,3
"40","Maybe put this later than the overall background you start talking about in the next couple sentences",2,2
"41","Not necessarily, keep in mind what your stats mean",4,3
"42","Based on what you currently have, make sure to say whether your hypothesis was or wasn’t supported (I understand that it’s glaringly obvious that there was little difference in threshold voltage but I would still add in a p-value). Afterwards, you can discuss why the data may not properly reflect the role of potassium channel blockers and how it can be improved.",4,4
"43","Where was the colony? If you don’t have those details, then you can omit it.",3,2
"44","Eh, instead of putting everything in a list and inevitably forgetting to list something (like oatmeal), I’d just introduce the steps and incorporate the materials you used that way.",3,3
"45","Need some more info about why color would affect aggressive behavior",2,4
"46","informal",2,2
"47","But your values are reported in centimeters",3,3
"48","You don’t need to specify this. It’s known that you will obtain the p-value after you run the t-test.",3,3
"49","I would cite this previous study.",4,2
"50","At what temp?",3,3
