"","text","subject_label","subject_predicted"
"1","You need to state your statistical results here (t-value, degrees of freedom, p-value), and reference actual figure numbers. You also need to provide some data/trends, such as averages in length for each group",3,3
"2","All this chunk belongs to methods",2,2
"3","They were also the experimental condition. Be consequent with that",3,3
"4","Try to summarize your methods in a better way without putting too much detail. For example, all the procedure to isolate 200 ul into microtubes with labels A, B, B pellet, and C can be condensed in a single line stating that the sample containing the pellet after second centrifuge was used. Because if you followed the protocol properly to isolate the chloroplast, you should have the highest chloroplast in your B pellet sample.",3,3
"5","Colloquial language",2,2
"6","What was this study? What did they do?",3,3
"7","Paired t-test",3,3
"8","The specific amount isn’t as important for the introduction.",3,2
"9","See my previous comment (Citation Correction)",3,3
"10","So what do you think was happening physiologically in the muscle then? Give a biological reason for your results",4,4
"11","Citation formatting",3,3
"12","No need to list materials separately. Just mention them as you use them in the procedure.",3,3
"13","This is too long, you can cut down on the stuff you talk more about in the Intro",2,2
"14","You need one more sentence stating the relevance or importance of the study. What do your results tell you about visual perception and aggression?",2,4
"15","Did you sterilize anything?",3,3
"16","Look out for typos",2,2
"17","Still a recipe-style writing. You could open your section by saying that “The slurry/ground mixture of chickweed was centrifuged using (name of the machine we used to centrifuge) at XG, Xrmp, at Xdegrees for Xmins to extract/isolate the chloroplasts. Any debris was removed and the solution was centrifuged again (mention specifications). The pellet was isolated and treated with Hill reaction assay (Table# provided in the supplement) to quantify photosynthesis activity. The absorbances were recorded…”",3,1
"18","Irrelevant information and improper citation format",3,3
"19","Since you have two figures, you should be referencing both",3,3
"20","But you did not find a significant difference between reactions to real fish and models, so how can you make this argument?",4,4
"21","This is technically interpretation, and should go in your discussion section.",1,3
"22","revise",2,2
"23","These are methods and are redundant.",2,2
"24","I missed this before, but always leave everything having to do with the hypothesis to the discussion.",1,2
"25","What effect does temperature have on plant growth?",3,4
"26","The statistic outcome (t-value, p-value) should be included at the end of this sentence to support that statement.",3,3
"27","What do you mean by tested?",3,3
"28","Use passive form. Do not use “I”, “We”, or “Our”",2,2
"29","I think the graphs are showing a trend, only that those difference were not statistically significant and you corroborated that with statistical. Rewrite this sentence taking that into account.",3,3
"30","Pretend you did the prep for all the leg data you used",3,3
"31","The null hypothesis cannot be rejected. That is the language you should use",3,2
"32","Report means as mean +/- SD",3,3
"33","Johnson, 2018",3,3
"34","Where are the stats?",3,3
"35","Provide %change data after 30 min and refer to figure.",3,3
"36","should have included %change formula and indicate that it was used to convert your raw data",3,3
"37","Be more careful about how the image looks, so by still having the “percent change” selected and “plot” still in the image, it doesn’t look cleaned up. They’re small but easy fixes",3,3
"38","You got chemically induced tetany every time, this t-test should be significant.  Be more specific about what values you put into the t-test.  This should help you figure out what specific data was insignificant.",3,3
"39","In the diet",2,3
"40","?",4,3
"41","Give the author’s names, not the journal",2,3
"42","Plagiarized",1,3
"43","Which statistical test did you do?",3,3
"44","Where are the physical observations that you mentioned I the methods? That should be part of the results because those were direct observations of the animals.",3,2
"45","I think we’ve talked about this, and its up to you, but you can avoid roundabout phrasing like this if you use the active voice instead of the passive voice.",2,2
"46","You need to introduce your experimental treatment in your introduction. Why is it relevant? What have previous studies found? Right now, your hypothesis comes out of left field.",2,4
"47","Don’t end your whole report with errors, end with a concluding sentence.",4,2
"48","While this technically fills the requirement, having more than one piece of primary literature would be good.",3,3
"49","This is a good point, but it belongs earlier in the paragraph. I would use this as a justification for investigating the effects of wavelength on allocation strategy.",2,2
"50","followed by red and green. I tried to spot and suggest better way to structure your writing, but go through your report again to revise for a well-structured, concise sentences with proper terms.",2,2
"51","Using a question like this is a somewhat awkward transition.",2,2
"52","Omit this",2,2
"53","Supported. Can’t prove a hypothesis true",3,2
"54","Be specific",2,3
"55","You should not display the same information twice",3,3
"56","The only detail you need to mention is that after treating with test compounds, both treatment and control groups were incubated for ~22 hours.",3,3
"57","This is raw data",3,3
"58","Not really, since each frog was its own control",3,3
"59","This is true for the K+ leak channels",3,3
"60","I would have these bars labelled as control and treatment. Also, your error bars look the same for both bars, making me think they are not correct.",3,3
"61","Avoid this recipe style of writing methods section because that’s not how it is used in a scientific literature. Check primary literature on similar experiments to see how they wrote their methods section and revise.",2,2
"62","This is still quite disjointed and lacks connections between the biological background and the study itself, one example being the introduction of DCPIP without any description of the electron transport that happens in the light-dependent reactions.",2,4
"63","Justification should come before the hypothesis",2,2
"64","This belongs in the methods section",2,2
"65","What were the statistics results?",3,3
"66","I would try to say what trend you saw in general and just come back to saying whether your hypothesis was/wasn’t supported",4,4
"67","Write +/- your standard deviations",3,3
"68","I would look at the role of Potassium in regular muscle contraction as it can affect the relaxation phase. Using this, it may make sense to look into how the relaxation phase may have changed.",4,4
"69","Is this the name of the test you used? If so maybe revisit that.",3,3
"70","you need to find primary lit to justify your choice of inhibitors",3,2
"71","informal",2,2
"72","This needs error bars for each data point!",3,3
"73","Where is the year for this?",3,3
"74","Don’t need this",2,3
"75","This caption needs more information. What are the error bars representing?  What were the statists results of this data",3,3
"76","Copy/pasting my comment on the first submission: Need some background on how bettas (or fish in general) react to foreign objects that they encounter, either in tanks or in the wild, to give some context for your experiment. This kind of comes out of nowhere.",4,4
"77","You already mentioned that that you did the same in each leg",3,3
"78","Just talk overall about your results and whether they support your hypothesis and then have a concluding sentence. Also, this doesn’t make much sense with what you wrote in your results section",2,2
"79","Citations should only have the first author’s last name",3,3
"80","Precor is the brand, methoprene is the actual chemical in it",3,3
"81","This is contradictory to your earlier (and correct) explanation of allocation patterns.",4,2
"82","Citation!",3,3
"83","Your figures need captions. There is a section in the research guide explaining how to make these.",3,3
"84","Fix this chart to look like what we talked about in lab, and don’t use a title for your figure",3,3
"85","This figure would be better if you also show an experimental animal at the same day. Then, the difference in coloration between them will be more obvious",3,3
"86","This was in your methods. Stop trying to write more!!1!",3,2
"87","If citing in-text using the author’s names in your sentence, but the year right after their names: A study by Walter &amp; Nagel [2006] demonstrates…",3,3
"88","Delete gridlines",3,3
"89","Where are the standard deviations in the graphs?",3,3
"90","Amplitude is not measured in Hz. That is frequency.You changed the amplitude of the voltage (V)",3,3
"91","Have to have primary, peer-reviewed literature here. Compare your results to other studies and discuss biological mechanisms",1,4
