"","text","subject_label","subject_predicted"
"1","You need to state your statistical results here (t-value, degrees of freedom, p-value), and reference actual figure numbers. You also need to provide some data/trends, such as averages in length for each group",2,2
"2","All this chunk belongs to methods",1,1
"3","They were also the experimental condition. Be consequent with that",2,2
"4","Try to summarize your methods in a better way without putting too much detail. For example, all the procedure to isolate 200 ul into microtubes with labels A, B, B pellet, and C can be condensed in a single line stating that the sample containing the pellet after second centrifuge was used. Because if you followed the protocol properly to isolate the chloroplast, you should have the highest chloroplast in your B pellet sample.",2,2
"5","Colloquial language",1,1
"6","What was this study? What did they do?",2,1
"7","Paired t-test",2,2
"8","The specific amount isn’t as important for the introduction.",2,1
"9","See my previous comment (Citation Correction)",2,2
"10","So what do you think was happening physiologically in the muscle then? Give a biological reason for your results",1,1
"11","Citation formatting",2,2
"12","No need to list materials separately. Just mention them as you use them in the procedure.",2,2
"13","This is too long, you can cut down on the stuff you talk more about in the Intro",1,1
"14","You need one more sentence stating the relevance or importance of the study. What do your results tell you about visual perception and aggression?",1,1
"15","Did you sterilize anything?",2,2
"16","Look out for typos",1,1
"17","Still a recipe-style writing. You could open your section by saying that “The slurry/ground mixture of chickweed was centrifuged using (name of the machine we used to centrifuge) at XG, Xrmp, at Xdegrees for Xmins to extract/isolate the chloroplasts. Any debris was removed and the solution was centrifuged again (mention specifications). The pellet was isolated and treated with Hill reaction assay (Table# provided in the supplement) to quantify photosynthesis activity. The absorbances were recorded…”",2,2
"18","Irrelevant information and improper citation format",2,2
"19","Since you have two figures, you should be referencing both",2,2
"20","But you did not find a significant difference between reactions to real fish and models, so how can you make this argument?",1,1
"21","This is technically interpretation, and should go in your discussion section.",1,1
"22","revise",1,1
"23","These are methods and are redundant.",1,1
"24","I missed this before, but always leave everything having to do with the hypothesis to the discussion.",1,1
"25","What effect does temperature have on plant growth?",2,1
"26","The statistic outcome (t-value, p-value) should be included at the end of this sentence to support that statement.",2,2
"27","What do you mean by tested?",2,2
"28","Use passive form. Do not use “I”, “We”, or “Our”",1,1
"29","I think the graphs are showing a trend, only that those difference were not statistically significant and you corroborated that with statistical. Rewrite this sentence taking that into account.",2,2
"30","Pretend you did the prep for all the leg data you used",2,2
"31","The null hypothesis cannot be rejected. That is the language you should use",2,1
"32","Report means as mean +/- SD",2,2
"33","Johnson, 2018",2,2
"34","Where are the stats?",2,2
"35","Provide %change data after 30 min and refer to figure.",2,2
"36","should have included %change formula and indicate that it was used to convert your raw data",2,2
"37","Be more careful about how the image looks, so by still having the “percent change” selected and “plot” still in the image, it doesn’t look cleaned up. They’re small but easy fixes",2,2
"38","You got chemically induced tetany every time, this t-test should be significant.  Be more specific about what values you put into the t-test.  This should help you figure out what specific data was insignificant.",2,2
"39","In the diet",1,2
"40","?",1,2
"41","Give the author’s names, not the journal",1,2
"42","Plagiarized",1,2
"43","Which statistical test did you do?",2,2
"44","Where are the physical observations that you mentioned I the methods? That should be part of the results because those were direct observations of the animals.",2,1
"45","I think we’ve talked about this, and its up to you, but you can avoid roundabout phrasing like this if you use the active voice instead of the passive voice.",1,1
"46","You need to introduce your experimental treatment in your introduction. Why is it relevant? What have previous studies found? Right now, your hypothesis comes out of left field.",1,1
"47","Don’t end your whole report with errors, end with a concluding sentence.",1,1
"48","While this technically fills the requirement, having more than one piece of primary literature would be good.",2,1
"49","This is a good point, but it belongs earlier in the paragraph. I would use this as a justification for investigating the effects of wavelength on allocation strategy.",1,1
"50","followed by red and green. I tried to spot and suggest better way to structure your writing, but go through your report again to revise for a well-structured, concise sentences with proper terms.",1,1
"51","Using a question like this is a somewhat awkward transition.",1,1
"52","Omit this",1,2
"53","Supported. Can’t prove a hypothesis true",2,1
"54","Be specific",1,2
"55","You should not display the same information twice",2,2
"56","The only detail you need to mention is that after treating with test compounds, both treatment and control groups were incubated for ~22 hours.",2,2
"57","This is raw data",2,2
"58","Not really, since each frog was its own control",2,2
"59","This is true for the K+ leak channels",2,2
"60","I would have these bars labelled as control and treatment. Also, your error bars look the same for both bars, making me think they are not correct.",2,2
"61","Avoid this recipe style of writing methods section because that’s not how it is used in a scientific literature. Check primary literature on similar experiments to see how they wrote their methods section and revise.",1,1
"62","This is still quite disjointed and lacks connections between the biological background and the study itself, one example being the introduction of DCPIP without any description of the electron transport that happens in the light-dependent reactions.",1,1
"63","Justification should come before the hypothesis",1,1
"64","This belongs in the methods section",1,1
"65","What were the statistics results?",2,2
"66","I would try to say what trend you saw in general and just come back to saying whether your hypothesis was/wasn’t supported",1,1
"67","Write +/- your standard deviations",2,2
"68","I would look at the role of Potassium in regular muscle contraction as it can affect the relaxation phase. Using this, it may make sense to look into how the relaxation phase may have changed.",1,1
"69","Is this the name of the test you used? If so maybe revisit that.",2,2
"70","you need to find primary lit to justify your choice of inhibitors",2,1
"71","informal",1,1
"72","This needs error bars for each data point!",2,2
"73","Where is the year for this?",2,2
"74","Don’t need this",1,2
"75","This caption needs more information. What are the error bars representing?  What were the statists results of this data",2,2
"76","Copy/pasting my comment on the first submission: Need some background on how bettas (or fish in general) react to foreign objects that they encounter, either in tanks or in the wild, to give some context for your experiment. This kind of comes out of nowhere.",1,1
"77","You already mentioned that that you did the same in each leg",2,2
"78","Just talk overall about your results and whether they support your hypothesis and then have a concluding sentence. Also, this doesn’t make much sense with what you wrote in your results section",1,1
"79","Citations should only have the first author’s last name",2,2
"80","Precor is the brand, methoprene is the actual chemical in it",2,2
"81","This is contradictory to your earlier (and correct) explanation of allocation patterns.",1,1
"82","Citation!",2,2
"83","Your figures need captions. There is a section in the research guide explaining how to make these.",2,2
"84","Fix this chart to look like what we talked about in lab, and don’t use a title for your figure",2,2
"85","This figure would be better if you also show an experimental animal at the same day. Then, the difference in coloration between them will be more obvious",2,2
"86","This was in your methods. Stop trying to write more!!1!",2,1
"87","If citing in-text using the author’s names in your sentence, but the year right after their names: A study by Walter &amp; Nagel [2006] demonstrates…",2,2
"88","Delete gridlines",2,2
"89","Where are the standard deviations in the graphs?",2,2
"90","Amplitude is not measured in Hz. That is frequency.You changed the amplitude of the voltage (V)",2,2
"91","Have to have primary, peer-reviewed literature here. Compare your results to other studies and discuss biological mechanisms",1,1
"92","oak",1,2
"93","Support this statement with the outcome from Statistics.",2,2
"94","Avoid using the same words than before.",1,1
"95","condense",1,1
"96","Error bars represent?",2,2
"97","Need to give the p values in the results section",2,2
"98","Write this up in paragraph form or make a succinct table that includes both weight and length stats.",2,2
"99","This belongs in the methods, not intro.",1,1
"100","Pretend like you are writing a scientific journal article, so avoid phrases like, “in this lab.”",1,1
"101","While you may use first-person language (I, we), stay away from expressing your own actions/thoughts in designing the experiment and simply present what you thought would happen and why.",1,1
"102","Is this the contraction amplitude?",2,2
"103","Your introduction needs to have a source from primary literature",1,1
"104","informal",1,1
"105","Who",1,2
"106","State the figure #",2,2
"107","What temp was the incubator set to?",2,2
"108","This should go in intro.",1,1
"109","Yes for length, not for weight – this is exactly why we use statistical tests. There is a reason, but you may not have measured or anticipated it. How did your experiment differ from the one you cite here? That may be the key to figuring out why your results are different.",1,2
"110","Avoid using colloquial languge",1,1
"111","The reason for the equation/connection to the hypothesis is still unclear.",2,1
"112","This looks like a second hypothesis statement and now I’m confused about which one you are interested in. Are they mutually exclusive? Could both be true? Could this intro be structured better to help me understand them?",1,1
"113","revise",1,1
"114","This should read more as what you did, not instructions for future people",2,2
"115","What is 1 and 2? How can I know which bar represent the treatment group and which one the control group? You can specify that information in the figure or the figure legend.",2,2
"116","Is this your prediction? Can you make it more clear",1,1
"117","redaction",1,2
"118","No citation in discussion – does not meet basic criteria",1,1
"119","This is not a scientific statement",1,1
"120","…is seduced the correct word here?",1,2
"121","…did you use precor or Martin’s IGR? Those are two different chemicals",2,2
"122","In the discussion, you could mention the main result again but in this section you should include an explanation or interpretation of those results. Avoid just repeating the same information than in the results section.",1,1
"123","Reference the figures in this section with numbers.",2,2
"124","I don’t see this figure anywhere, so be sure to upload it for the revision",2,2
"125","This needs to be much longerConsider breaking it up into several major sectionsWhat did you find and what does it mean",2,1
"126","To what temp?",2,2
"127","Then, return to these studies in your discussion and compare your findings with the results of previous work.",1,1
"128","Refer readers to your figures/tables",2,2
"129","Instead of they use “Matveeva et al. found that. Notice that you incorrectly put et al format. The period goes after “al”, not after “et”",2,2
"130","You should have a short paragraph that sums up your results.  Include things like the average change in weight or length, your statistics results, and anything else you might bring up in your discussion as evidence.",1,1
"131","compared",1,2
"132","Are these methods?",2,2
"133","state what your error bars represent and reiterate your statistical results",2,2
"134","Averages are not actually part of the t-test itself (even though the readout gives them to you).",2,2
"135","Do not use this language",1,1
"136","Error bars represent…",2,2
"137","Refer to your figures in the results",2,2
"138","You can just write 194.66 ms +/- 72.75, and do the same for the treatment",2,2
