"","text","subject_label","subject_predicted"
"1","Although you can mention that previous researchers found similar results than you by affecting the secretion of JH instead, I will recommend you look for another source.",4,4
"2","Typically, if more than two treatments are involved (in this case, you used 3 including the control), an ANOVA would be used. But since there were just 3, I’ll let this go. Do let me know, however, if you’d like to learn more about ANOVA in case you need to know it in the future",3,3
"3","Technically, two (one above the mean, one below)",3,3
"4","You don’t need citations in the abstract, just the introduction and the discussion",3,2
"5","Stats?",3,3
"6","Your intro is good thus far, but now that the reader understands resource allocation, what can you tell us about how light might affect resource allocation? You need to make the connection between root/shoot growth in response to stimuli and light availability before introducing your hypothesis.",4,4
"7","Why does early growth limit future growth?",4,2
"8","I wouldn’t start the Intro like this and I would not state that like the main reason for using Manduca sexta.",2,2
"9","Do not include direct quotes, even if you give the reference",2,2
"10","Procedural error could be one reason. Maybe the chloroplasts were not successfully isolated. Recall that you did not actually look through the microscope and calculated relative chloroplast density this time. It could be error at maintaining the temp during the experiments. Explore possible reasons!",4,4
"11","Briefly mention what was the result. What did you get that is supporting the hypothesis",4,2
"12","Provide %change data after 30 min and refer to figure.",3,3
"13","This is not an explanation for the obtained results. Can you think in a more plausible explanation for the lack of effect of JH in the growth of Manduca sexta?",4,4
"14","Corpus cardiacum is a neurohemal organ, the site of release, it is not the secretory tissue",3,3
"15","Be specific. What was the effect?",3,2
"16","These are not explanations of your results. Don’t say that they could be different if you already know that they are not.",4,3
"17","Your figure 1 and 2 basically state the same thing, so I would just stick with one of them. I like figure 1 a bit better",3,3
"18","The standard deviations are the same for both groups in every single day",3,3
"19","This is not quite right, the difference between group was not significant",3,3
"20","Supported not correct. Solid abstract, but you need a sentence or two of methods.",2,2
"21","Was there not an error bar for the treatment group?",3,3
"22","What about food? Why did you expect less aggression in the first place? What is your support?",4,4
"23","Have the bars says control and treatment underneath. Also, your error bars look to be the same size for both groups, which is incorrect. Also, your x-axis label doesn’t really make any sese (the amount of amps of what?)",3,3
"24","Much better. A note for the future, whenever you list averages, you should also have +/- a standard deviation",3,3
"25","Just paraphrase from the literature. No need for quotations.",2,2
"26","Your study system is a means to an end. What’s the important underlying biological concept of this study?",3,2
"27","If 2 out of your 8 caterpillars were outliers, you may just not have very conclusive data. You need to make a very clear case for why they were outliers if you want to toss out ¼ of your data points.",3,4
"28","Concentration?",3,3
"29","Stats?",3,3
"30","I don’t think you copied your entire caption here?",3,3
"31","You don’t need to include anything specific to the program used. Simply saying that it was recorded (You already included the important details above the stimulus above) is enough.",3,3
"32","Should’ve been a paired t-test",3,3
"33","Start with the big picture",2,2
"34","Use the Author",3,3
"35","You can trim this down by cutting out information that is unnecessary, don’t tell people how exactly you increased the stimulus voltage, just say that you increased it; things like that",2,4
"36","Another potential reason could be error in isolating the chloroplasts from the leaves. Recall that you didn’t actually record the relative density of chloroplast this time. Going through that step to ensure your sample actually had a high density of chloroplast would be an effective way to ensuring that you had chloroplast in your treatment to begin with.",3,4
"37","This figure is not informative. You should instead show a figure of the R:S length and weight ratios for your control and experimental plants.",3,3
